V,target
-0.04,0.0000515
-0.038333,0.000056
-0.036667,0.000061
-0.035,0.000066
-0.033333,0.000072
-0.031667,0.0000775
-0.03,0.000084
-0.028333,0.000091
-0.026667,0.0000985
-0.025,0.000106
-0.023333,0.000114
-0.021667,0.0001235
-0.02,0.000133
-0.018333,0.000143
-0.016667,0.000154
-0.015,0.000165
-0.013333,0.000177
-0.011667,0.0001905
-0.01,0.0002035
-0.008333,0.000218
-0.006667,0.000233
-0.005,0.000249
-0.003333,0.0002655
-0.001667,0.0002825
0,0.000301
0.001667,0.0003215
0.003333,0.000341
0.005,0.0003645
0.006667,0.0003865
0.008333,0.0004105
0.01,0.000435
0.011667,0.0004615
0.013333,0.0004885
0.015,0.000515
0.016667,0.00055
0.018333,0.00058
0.02,0.000615
0.021667,0.000645
0.023333,0.00068
0.025,0.000715
0.026667,0.000755
0.028333,0.00079
0.03,0.00083
0.031667,0.00087
0.033333,0.00091
0.035,0.000955
0.036667,0.001
0.038333,0.001045
0.04,0.00109
0.041667,0.001135
0.043333,0.00118
0.045,0.001225
0.046667,0.001275
0.048333,0.001325
0.05,0.00137
0.051667,0.00142
0.053333,0.001465
0.055,0.00151
0.056667,0.001555
0.058333,0.001595
0.06,0.00164
0.061667,0.00168
0.063333,0.001715
0.065,0.00175
0.066667,0.001785
0.068333,0.00182
0.07,0.00185
0.071667,0.00188
0.073333,0.001905
0.075,0.001935
0.076667,0.00196
0.078333,0.001985
0.08,0.002015
0.081667,0.00204
0.083333,0.00207
0.085,0.0021
0.086667,0.002135
0.088333,0.00217
0.09,0.002205
0.091667,0.00225
0.093333,0.00229
0.095,0.00234
0.096667,0.002385
0.098333,0.00244
0.1,0.0025
0.101667,0.002555
0.103333,0.00262
0.105,0.002685
0.106667,0.002755
0.108333,0.00283
0.11,0.00291
0.111667,0.00299
0.113333,0.00307
0.115,0.003165
0.116667,0.003255
0.118333,0.00335
0.12,0.00345
0.121667,0.003555
0.123333,0.003665
0.125,0.003775
0.126667,0.0039
0.128333,0.00402
0.13,0.00415
0.131667,0.004285
0.133333,0.004425
0.135,0.00456
0.136667,0.004705
0.138333,0.00486
0.14,0.005
0.141667,0.00515
0.143333,0.00535
0.145,0.0055
0.146667,0.0057
0.148333,0.0059
0.15,0.00605
0.151667,0.00625
0.153333,0.00645
0.155,0.00665
0.156667,0.0069
0.158333,0.0071
0.16,0.0073
0.161667,0.00755
0.163333,0.00775
0.165,0.008
0.166667,0.00825
0.168333,0.0085
0.17,0.0088
0.171667,0.00905
0.173333,0.0093
0.175,0.0096
0.176667,0.00985
0.178333,0.01015
0.18,0.01045
0.181667,0.01075
0.183333,0.01105
0.185,0.01135
0.186667,0.0117
0.188333,0.012
0.19,0.0123
0.191667,0.01265
0.193333,0.013
0.195,0.01335
0.196667,0.0137
0.198333,0.01405
0.2,0.0144
0.201667,0.01475
0.203333,0.0151
0.205,0.01545
0.206667,0.01585
0.208333,0.0162
0.21,0.0166
0.211667,0.01695
0.213333,0.0173
0.215,0.01765
0.216667,0.01795
0.218333,0.0183
0.22,0.0186
0.221667,0.01895
0.223333,0.0192
0.225,0.0195
0.226667,0.0197
0.228333,0.0199
0.23,0.02005
0.231667,0.02015
0.233333,0.02015
0.235,0.02015
0.236667,0.02005
0.238333,0.01995
0.24,0.01975
0.241667,0.0195
0.243333,0.0192
0.245,0.01895
0.246667,0.0186
0.248333,0.0183
0.25,0.01795
0.251667,0.01765
0.253333,0.01735
0.255,0.01705
0.256667,0.01675
